parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,glossaryStatus,extension
,634457935.3,2541000000.0,1924000000,,,,3166000000,,,,
,634457935.3,-324000000.0,-952000000,,,,3718000000,,,,
,11794000000.0,8646000000.0,7778000000,,,,48904000000,,,,
,10584000000.0,10263000000.0,8107000000,,,,46115000000,,,,
,16466000000.0,7787000000.0,7222000000,,,,46271000000,,,,
,9334000000.0,6900000000.0,6331000000,,,,39039000000,,,,
,26000000.0,333000000.0,255000000,,,,745000000,,,,
,25000000.0,341000000.0,267000000,,,,682000000,,,,
,23000000.0,277000000.0,219000000,,,,651000000,,,,
,26000000.0,261000000.0,198000000,,,,654000000,,,,
,634457935.3,239000000.0,207000000,,,,693000000,,,,
,634457935.3,262000000.0,233000000,,,,725000000,,,,
,634457935.3,137000000.0,115000000,,,,598000000,,,,
,634457935.3,432000000.0,367000000,,,,895000000,,,,
,634457935.3,9000000.0,19000000,,,,787000000,,,,
,634457935.3,-1573000000.0,-1250000000,,,,-1806000000,,,,
,634457935.3,-2809000000.0,-2178000000,,,,-923000000,,,,
,634457935.3,-3095000000.0,-2399000000,,,,-2489000000,,,,
,634457935.3,635000000.0,578200000,,,,1871300000,,,,
,634457935.3,633300000.0,575000000,,,,1853100000,,,,
,634457935.3,417300000.0,435500000,,,,1575900000,,,,
,634457935.3,747000000.0,748600000,,,,1925500000,,,,
,634457935.3,2940000000.0,2280000000,,,,7705000000,,,,
,634457935.3,2993000000.0,2235000000,,,,7179000000,,,,
,634457935.3,1858000000.0,1438000000,,,,6859000000,,,,
,634457935.3,1364000000.0,1073000000,,,,5823000000,,,,
,634457935.3,147000000.0,99000000,,,,2662000000,,,,
,634457935.3,4728000000.0,3876000000,,,,7198000000,,,,
,634457935.3,-558000000.0,-53000000,,,,1491000000,,,,
,634457935.3,368000000.0,288000000,,,,2504000000,,,,
,634457935.3,820700000.0,746300000,,,,1651000000,,,,
,634457935.3,702600000.0,645000000,,,,1584200000,,,,
,634457935.3,419700000.0,365100000,,,,1549900000,,,,
,634457935.3,502200000.0,464400000,,,,1450300000,,,,
,634457935.3,251000000.0,207000000,,,,568000000,,,,
,634457935.3,155000000.0,133000000,,,,469000000,,,,
,634457935.3,181000000.0,145000000,,,,494000000,,,,
,634457935.3,352000000.0,264000000,,,,660000000,,,,
,634457935.3,721000000.0,591000000,,,,1720000000,,,,
,634457935.3,493000000.0,437000000,,,,1522000000,,,,
,634457935.3,190000000.0,177000000,,,,1183000000,,,,
,634457935.3,-184000000.0,-140000000,,,,796000000,,,,
,634457935.3,573530000.0,292122000,,,,1888206000,,,,
,634457935.3,566511000.0,435267000,,,,1533381000,,,,
,634457935.3,527882000.0,374845000,,,,1452230000,,,,
,634457935.3,-6143457000.0,-4846072000,,,,1346317000,,,,
,634457935.3,291755000.0,231679000,,,,473634000,,,,
,634457935.3,272456000.0,219233000,,,,426350000,,,,
,634457935.3,276707000.0,221025000,,,,428979000,,,,
,634457935.3,248075000.0,204581000,,,,394237000,,,,
,1082000000.0,558000000.0,464000000,,,,4889000000,,,,
,967000000.0,1857000000.0,1646000000,,,,4411000000,,,,
,1229000000.0,1877000000.0,1615000000,,,,5037000000,,,,
,1062000000.0,2206000000.0,2021000000,,,,4862000000,,,,
,634457935.3,435900000.0,329600000,,,,727500000,,,,
,260700000.0,460200000.0,357000000,,,,765600000,,,,
,260700000.0,448800000.0,346600000,,,,734900000,,,,
,260700000.0,328500000.0,257700000,,,,603800000,,,,
,306617000.0,572278000.0,503311000,,,,1221184000,,,,
,302238000.0,475985000.0,422905000,,,,1136637000,,,,
,288150000.0,436618000.0,388519000,,,,1045371000,,,,
,280239000.0,417310000.0,386526000,,,,1023084000,,,,
,100879000.0,128860000.0,93716000,,,,397521000,,,,
,100479000.0,47623000.0,72398000,,,,316072000,,,,
,96510000.0,257872000.0,215632000,,,,567198000,,,,
,86616000.0,90144000.0,75627000,,,,323491000,,,,
,634457935.3,1996000000.0,1509000000,,,,9177000000,,,,
,634457935.3,2353000000.0,1793000000,,,,9088000000,,,,
,634457935.3,2176000000.0,1665000000,,,,8686000000,,,,
,634457935.3,611000000.0,551000000,,,,7737000000,,,,
,634457935.3,596000000.0,379000000,,,,1266000000,,,,
,634457935.3,1167000000.0,913000000,,,,1812000000,,,,
,634457935.3,626000000.0,524000000,,,,1333000000,,,,
,634457935.3,363000000.0,275000000,,,,1002000000,,,,
,634457935.3,495000000.0,316000000,,,,1196000000,,,,
,634457935.3,620000000.0,388000000,,,,1116000000,,,,
,634457935.3,70000000.0,10000000,,,,746000000,,,,
,634457935.3,72000000.0,-4000000,,,,732000000,,,,
,5717000000.0,24369000000.0,21744000000,,,,35255000000,,,,
,5262000000.0,28011000000.0,23630000000,,,,38079000000,,,,
,5163000000.0,33579000000.0,28755000000,,,,44328000000,,,,
,4978000000.0,14901000000.0,12673000000,,,,24689000000,,,,
,640000000.0,1980000000.0,1716000000,,,,2967000000,,,,
,617000000.0,1545000000.0,1330000000,,,,2653000000,,,,
,606000000.0,1240000000.0,1130000000,,,,2361000000,,,,
,560000000.0,1243000000.0,1131000000,,,,2130000000,,,,
,634457935.3,194000000.0,163000000,,,,602000000,,,,
,634457935.3,348000000.0,295000000,,,,727000000,,,,
,634457935.3,370000000.0,299000000,,,,812000000,,,,
,634457935.3,303000000.0,299000000,,,,674000000,,,,
,143293000.0,221084000.0,196888000,,,,454178000,,,,
,132487000.0,207867000.0,180366000,,,,425272000,,,,
,141147000.0,200180000.0,182958000,,,,414584000,,,,
,128049000.0,201619000.0,168375000,,,,384962000,,,,
,634457935.3,222300000.0,190200000,,,,686900000,,,,
,634457935.3,408400000.0,382100000,,,,841300000,,,,
,634457935.3,133700000.0,142200000,,,,569600000,,,,
,634457935.3,209500000.0,176600000,,,,614100000,,,,
,634457935.3,236600000.0,203400000,,,,301400000,,,,
,634457935.3,193100000.0,163000000,,,,261200000,,,,
,634457935.3,183400000.0,139200000,,,,329400000,,,,
,634457935.3,-4100000.0,-30200000,,,,194500000,,,,
,634457935.3,2625000000.0,1570000000,,,,22946000000,,,,
,634457935.3,10064000000.0,7550000000,,,,22852000000,,,,
,634457935.3,-15553000000.0,-13883000000,,,,22781000000,,,,
,634457935.3,3934000000.0,2816000000,,,,22501000000,,,,
,634457935.3,118315000.0,102411000,,,,334213000,,,,
,634457935.3,358542000.0,296754000,,,,588889000,,,,
,634457935.3,282902000.0,217678000,,,,487577000,,,,
,634457935.3,83389000.0,65333000,,,,276811000,,,,
,267800000.0,138800000.0,115600000,,,,968100000,,,,
,255800000.0,131400000.0,155600000,,,,906900000,,,,
,244000000.0,171100000.0,911300000,,,,957300000,,,,
,223400000.0,156100000.0,132200000,,,,876500000,,,,
,634457935.3,697100000.0,538200000,,,,1631000000,,,,
,634457935.3,1066200000.0,810700000,,,,1923900000,,,,
,634457935.3,832600000.0,647500000,,,,1673400000,,,,
,634457935.3,765200000.0,602100000,,,,1539900000,,,,
,634457935.3,985910000.0,785771000,,,,2567839000,,,,
,634457935.3,758479000.0,596164000,,,,1914946000,,,,
,634457935.3,435755000.0,345946000,,,,1559383000,,,,
,634457935.3,569046000.0,442433000,,,,1675617000,,,,
,634457935.3,447987000.0,447953000,,,,347692000,,,,
,634457935.3,141479000.0,142223000,,,,342152000,,,,
,634457935.3,338936000.0,341128000,,,,337684000,,,,
,634457935.3,147690000.0,147703000,,,,359605000,,,,
,634457935.3,254200000.0,183800000,,,,576300000,,,,
,634457935.3,267600000.0,209500000,,,,597000000,,,,
,112800000.0,254400000.0,191500000,,,,571100000,,,,
,112800000.0,196800000.0,150500000,,,,484200000,,,,
,634457935.3,209000000.0,8000000,,,,1010000000,,,,
,634457935.3,66000000.0,-68000000,,,,976000000,,,,
,634457935.3,-536000000.0,-452000000,,,,858000000,,,,
,634457935.3,1520000000.0,652000000,,,,1037000000,,,,
,634457935.3,318000000.0,202000000,,,,699000000,,,,
,634457935.3,232000000.0,200000000,,,,632000000,,,,
